event_id,display_name,event_type,weight,min_month,max_month,min_co2_tier,cooldown_months,duration_months,effect_key,effect_value,target_scope,is_positive,alert_template
harsh_winter,Harsh Winter,climate,12,0,240,low,24,3,energy_demand_pct,20,global,False,Energy demand - Europe -> harsh winter -> slow datacenters or build fast generation
heatwave,Heatwave,climate,10,12,240,moderate,18,2,cooling_demand_pct;renewable_output_pct,15;-5,global,False,Cooling under strain - Europe -> heatwave -> prioritize local cooling
drought,Drought,climate,8,24,240,elevated,30,4,river_cooling_pct;hydro_output_pct,-30;-20,regions_with_fleuve_or_hydro,False,Limited water - {region} -> drought -> reduce river/hydro dependency
storm,Storm,climate,8,6,240,low,12,1,wind_variance_pct;offshore_availability_pct,35;-10,coastal_and_windy_regions,False,Variable production - {region} -> storm -> use batteries/nearby imports
new_gpu,New GPU,tech_global,6,18,180,low,36,999,compute_efficiency_pct,10,global_eu_and_usa,True,Improved compute - Europe -> new GPU -> get more from datacenters
eu_ai_breakthrough,European AI Breakthrough,tech_eu,6,24,200,low,36,6,eu_agi_gain_pct,15,eu,True,AI breakthrough - Europe -> temporary bonus -> convert compute into AGI now
us_algorithmic_revolution,US Algorithmic Revolution,tech_usa,6,36,220,low,42,6,usa_agi_gain_pct,25,usa,False,US pressure - Global -> American acceleration -> accelerate AI research or compute
gas_price_spike,Gas Price Spike,economy,7,12,240,low,24,6,gas_cost_pct;gas_maintenance_pct,30;20,global,False,More expensive gas - Europe -> tight market -> diversify clean generation
nuclear_industrial_delay,Nuclear Industrial Delay,industry,5,24,180,low,36,1,active_nuclear_construction_remaining_pct,25,nuclear_projects,False,Nuclear delay - {region} -> industrial chain -> secure temporary alternatives
eu_nuclear_agreement,European Nuclear Agreement,policy,4,36,180,low,999,999,nuclear_cost_pct;nuclear_construction_pct,-15;-10,eu,True,Nuclear agreement - Europe -> lower costs -> plan long-term baseload
grid_maintenance_incident,Major Grid Maintenance Incident,network,4,18,240,low,24,2,network_efficiency_pct,-10,random_high_import_region,False,Unstable grid - {region} -> incident -> reduce long-distance imports
public_funding_wave,Public Energy Funding,economy,5,24,180,low,36,1,money_flat,180,eu,True,Energy funding - Europe -> exceptional budget -> launch long infrastructure
