building_id,display_name,category,slots,cost,construction_months,output_resource,output_amount,energy_delta,cooling_delta,compute_delta,storage_delta,consumes_energy,consumes_cooling,consumes_compute,required_researchers,co2_per_month,availability,unlock_technology,required_region_tag_any,required_potential_key,required_potential_min,scaling_potential_key,scaling_formula,variation_profile,maintenance_cost_per_month,notes
university,University,research,1,120,4,researchers,8,0,0,0,0,2,0,0,0,0,available_2025,,,research,1,research,output_amount*(0.75+0.08*potential),,3,Produces researchers; natural bonus in research regions.
ai_research_center,AI Research Center,research,2,220,8,agi_progress,0,0,0,0,0,8,0,6,20,0,available_2025,,urbain;central;dense,research,3,research,agi_gain_uses_global_formula,,8,Converts compute and researchers into AGI progress via balance_constants.json and simulation_formulas.csv.
energy_research_center,Energy Research Center,research,2,220,8,technology_progress,0,0,0,0,0,6,0,4,20,0,available_2025,,urbain;central;dense,research,3,research,tech_points*(0.8+0.07*potential),,8,"Unlocks batteries, supergrid, advanced nuclear, and more."
datacenter_standard,Standard Datacenter,compute,2,300,6,compute,10,0,0,10,0,12,10,0,12,0,available_2025,,,cooling,2,cooling,"compute_output*min(1,cooling_available/cooling_required)",,12,Available from 2025; depends strongly on regional cooling.
datacenter_hyperscale,Hyperscale Datacenter,compute,3,750,14,compute,35,0,0,35,0,38,32,0,35,0,locked,hyperscale_datacenters,littoral;froid;fleuve,cooling,3,cooling,"compute_output*min(1,cooling_available/cooling_required)",,30,Mid/late-game; avoids brute force without grid or cooling.
gas_power_plant,Gas Power Plant,energy,2,180,4,energy,25,25,0,0,0,0,0,0,4,8,available_2025,,,,0,,fixed_output,,14,Fast solution; increases CO2 pressure and climate crisis risk.
nuclear_power_plant,Nuclear Power Plant,energy,4,900,24,energy,90,90,0,0,0,0,4,0,30,0.4,available_2025,,,nuclear,2,nuclear,output_amount*(0.85+0.05*potential),,28,Very strong long-term base; too slow to correct an immediate crisis.
wind_onshore,Onshore Wind,energy,1,140,6,energy,14,14,0,0,0,0,0,0,2,0,available_2025,,,wind_onshore,2,wind_onshore,output_amount*(0.7+0.1*potential),wind_onshore,4,"Variable, but fast and clean."
wind_offshore,Offshore Wind,energy,2,260,10,energy,28,28,0,0,0,0,0,0,4,0,locked,offshore_wind,littoral;mer_du_nord;mer_noire;iles,wind_offshore,2,wind_offshore,output_amount*(0.7+0.1*potential),wind_offshore,7,Locked at P0 start; unlocked by offshore_wind. More stable than onshore and strengthens coastal regions.
solar_farm,Solar Farm,energy,1,110,5,energy,12,12,0,0,0,0,0,0,1,0,available_2025,,,solar,2,solar,output_amount*(0.7+0.1*potential),solar,3,"Excellent in the south, variable, and inexpensive."
hydro_dam,Hydro Dam,energy,3,500,18,energy,45,45,0,0,0,0,0,0,10,0,available_2025,,hydro;montagne;fleuve,hydro,3,hydro,output_amount*(0.75+0.08*potential),hydro,10,Stable; vulnerable to droughts.
battery_storage,Battery Storage,storage,1,160,5,storage,25,0,0,0,25,0,0,0,2,0,locked,batteries,,,0,,storage_capacity_fixed; roundtrip_efficiency=0.88,,5,Dampens renewable fluctuations.
air_cooling,Air Cooling,cooling,1,90,3,cooling,12,0,12,0,0,4,0,0,1,0,available_2025,,,cooling,1,cooling,output_amount*(0.85+0.05*potential),,4,"Works everywhere, simple, but consumes energy; P0 rule: demand is carried by consumes_*, not by negative delta."
river_cooling,River Cooling,cooling,1,180,7,cooling,30,0,30,0,0,2,0,0,3,0,available_2025,,fleuve;hydro,cooling,2,cooling,output_amount*(0.8+0.06*potential),,6,"Highly efficient, but vulnerable to droughts; P0 rule: demand is carried by consumes_*, not by negative delta."
sea_cooling,Sea Cooling,cooling,1,220,8,cooling,40,0,40,0,0,3,0,0,3,0,available_2025,,littoral;mer_du_nord;mer_noire;iles,cooling,3,cooling,output_amount*(0.85+0.05*potential),,7,"Excellent efficiency, but constrains datacenter location; P0 rule: demand is carried by consumes_*, not by negative delta."
geothermal_cooling,Geothermal Cooling,cooling,2,420,16,cooling,55,0,55,0,0,2,0,0,8,0,locked,geothermal_cooling,,cooling,3,cooling,output_amount*(0.9+0.04*potential),,12,"Stable, advanced, expensive; P0 rule: demand is carried by consumes_*, not by negative delta."
